Code,Details,Price
&nbsp,SAMSUNG PS2 Keyboard, 15,cart
&nbsp,SAMSUNG PS2 Keyboard Erganomic Palm Rest, 20,cart
&nbsp,SAMSUNG Smart Beetle PS2 Optical Mouse(blue),29,cart
-,Samsung Optic Crystal Mouse,35,cart

-,Microsoft intellimouse wheel ps2, 22,cart

-,A-Open Multimedia Keyboard PS/2,22,cart
